"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-06-20","596.73","597.80","591.22","592.64","593.49","94,051,374","-0.24%","-1.395","56,006,415,138","825,547"
"2025-06-18","595.03","597.79","593.07","594.03","595.36","76,605,029","-0.02%","-0.089487","45,859,980,068","711,304"
"2025-06-17","596.79","598.32","593.36","594.12","595.61","82,209,365","-0.86%","-5.12","49,250,063,189","827,333"
"2025-06-16","596.98","601.00","596.80","599.24","259.16","79,984,125","0.95%","5.65","11,284,648,411","775,588"
"2025-06-13","595.09","598.42","592.08","593.59","312.09","89,505,996","-1.12%","-6.71","16,664,723,202","980,646"
"2025-06-12","596.59","600.31","596.10","600.31","599.13","64,129,003","0.40%","2.3764","38,637,075,806","689,902"
"2025-06-11","600.74","601.61","595.85","597.93","245.20","73,658,225","-0.29%","-1.7102","7,482,214,637","808,643"
"2025-06-10","596.80","600.03","595.67","599.64","598.24","66,246,973","0.57%","3.3806","21,415,626,233","674,477"
"2025-06-09","596.30","597.82","595.08","596.26","117.13","53,016,418","0.09%","0.536919","13,362,727,633","637,332"
"2025-06-06","595.24","597.40","593.46","595.72","595.84","66,588,743","1.03%","6.06","21,442,532,802","768,579"
"2025-06-05","594.22","595.58","587.68","589.67","591.71","92,436,397","-0.48%","-2.8636","18,116,042,591","944,052"
"2025-06-04","593.55","594.54","592.09","592.53","593.50","57,314,199","-0.03%","-0.159087","34,207,532,891","629,196"
"2025-06-03","588.96","593.67","588.47","592.69","591.86","63,606,204","0.57%","3.3607","19,401,874,161","690,772"
"2025-06-02","584.41","589.41","581.72","589.33","586.65","61,630,502","0.56%","3.3011","36,354,835,683","728,742"
"2025-05-30","585.57","587.76","579.91","586.03","584.76","90,601,242","-0.11%","-0.656235","53,309,286,189","884,327"
"2025-05-29","589.68","589.82","582.73","586.68","586.23","70,073,758","0.40%","2.3068","4,429,008,853","826,140"
"2025-05-28","588.19","589.39","583.64","584.38","586.45","68,445,512","-0.58%","-3.4005","21,921,814,226","731,940"
"2025-05-27","582.73","587.94","575.13","587.78","233.36","72,588,475","2.08%","11.97","24,277,182,425","830,957"
"2025-05-23","572.69","578.49","572.32","575.81","575.50","76,029,046","-0.68%","-3.9573","7,113,907,181","877,458"
"2025-05-22","579.34","583.27","578.09","579.76","580.69","70,860,417","0.04%","0.228688","41,377,189,373","844,274"
"2025-05-21","585.08","589.20","578.50","579.54","310.41","95,197,657","-1.69%","-9.93","37,436,649,340","1,066,364"
