Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2019-07-16,--,--,--,19.17,--,--,-0.49%,-0.093893,--,--,
2019-07-15,--,--,--,19.27,--,--,0.29%,0.056335,--,--,
2019-07-12,--,--,--,19.21,--,--,0.54%,0.103282,--,--,
2019-07-11,--,--,--,19.11,--,--,-0.10%,-0.018779,--,--,
2019-07-10,--,--,--,19.13,--,--,0.99%,0.187785,--,--,
2019-07-09,--,--,--,18.94,--,--,0.55%,0.103281,--,--,
2019-07-08,--,--,--,18.83,--,--,-0.74%,-0.140837,--,--,
2019-07-05,--,--,--,18.98,--,--,-0.20%,-0.037558,--,--,
2019-07-04,--,--,--,19.01,--,--,0.00%,--,--,--,
2019-07-03,--,--,--,19.01,--,--,0.75%,0.140839,--,--,
2019-07-02,--,--,--,18.87,--,--,1.67%,0.309845,--,--,
2019-06-28,--,--,--,18.56,--,--,0.15%,0.028167,--,--,
2019-06-27,--,--,--,18.53,--,--,0.36%,0.065725,--,--,
2019-06-26,--,--,--,18.47,--,--,0.46%,0.084503,--,--,
2019-06-25,--,--,--,18.38,--,--,-1.71%,-0.319234,--,--,
2019-06-24,--,--,--,18.7,--,--,-0.05%,-0.009389,--,--,
2019-06-21,--,--,--,18.71,--,--,-0.10%,-0.018778,--,--,
2019-06-20,--,--,--,18.73,--,--,0.81%,0.150227,--,--,
2019-06-19,--,--,--,18.58,--,--,0.36%,0.065725,--,--,
2019-06-18,--,--,--,18.52,--,--,1.44%,0.262898,--,--,
2019-06-17,--,--,--,18.25,--,--,0.62%,0.112671,--,--,
2019-06-14,--,--,--,18.14,--,--,-0.41%,-0.075114,--,--,
2019-06-13,--,--,--,18.22,--,--,0.52%,0.093892,--,--,
2019-06-12,--,--,--,18.12,--,--,-0.52%,-0.093892,--,--,
2019-06-11,--,--,--,18.22,--,--,0.16%,0.028168,--,--,
2019-06-10,--,--,--,18.19,--,--,1.10%,0.197174,--,--,
2019-06-07,--,--,--,17.99,--,--,1.92%,0.338012,--,--,
2019-06-06,--,--,--,17.65,--,--,0.75%,0.13145,--,--,
2019-06-05,--,--,--,17.52,--,--,0.76%,0.131449,--,--,
2019-06-04,--,--,--,17.39,--,--,2.66%,0.450683,--,--,
2019-06-03,--,--,--,16.94,--,--,-2.06%,-0.356791,--,--,
2019-05-31,--,--,--,17.3,--,--,-1.66%,-0.291066,--,--,
2019-05-30,--,--,--,17.59,--,--,0.43%,0.075114,--,--,
